x1;x2;y
0,166437432;0,77802263;0,590857941
0,080633815;-0,253305837;-0,555150674
0,859693228;0,907993812;1,396523138
-0,797973428;-0,645361504;-0,84714769
-1,946028781;-1,40387628;-2,773232924
-0,196092853;0,171585705;0,999997876
-1,326891404;-2,055322407;-1,615724976
-0,374370916;-0,370558872;0,299835263
-1,971144885;-0,734606249;-1,770335097
1,538338978;1,307197196;1,786792896
1,415032418;1,010860688;1,713029417
-0,671083975;-0,643840131;-0,603423559
-1,533014271;-0,831678302;-1,098556577
0,822780897;-0,050247096;0,913486319
0,569335282;0,083121502;0,404015578
-0,129842336;0,225290383;0,408569273
-1,039724573;-1,234556244;-2,317443172
1,459232336;0,062632719;0,866404964
1,213350752;0,609781968;1,065066133
-1,477589073;-0,858579091;-1,650262987
1,301590831;0,46426332;1,538953924
0,879234738;0,270973717;1,128137598
1,125036757;0,561996812;1,001269141
0,993915059;0,489644508;1,900902824
-0,609513958;-0,009572939;-0,417340707
1,532805894;0,967826269;1,190443642
1,742472126;0,649386876;1,09627424
-0,424932753;-0,116289658;-0,644765972
0,74456113;1,062670657;-0,066485108
1,615237701;1,203643001;2,340781214
0,567286648;0,130513497;0,381967857
1,426735775;1,374263891;0,870626523
-1,313921356;-0,18809085;-0,730785608
-1,772454835;-0,394047778;-3,165864196
1,952036067;1,95890905;3,153199447
-1,986051895;-1,029960788;-1,9869259
1,105709912;0,682700223;0,128445961
1,925212124;1,389442784;2,751993484
-1,434232098;-0,871237791;-1,4284649
-1,07030988;-1,405792858;-0,865448402
0,15719263;-0,04469856;1,255666688
0,922697905;1,23489337;1,233229124
-0,535180334;-1,065626543;-0,320031474
0,258467568;0,662898211;0,319161572
-1,374008855;-0,990875183;-2,194012456
-0,730591069;-0,713402865;-1,517073976
-0,546192863;-1,110234884;-1,728174155
0,331654192;0,645870588;0,098511665
-1,798934032;-1,457369526;-2,745491367
1,889764729;1,396083843;2,058432709
0,466451945;0,271690572;-0,148667489
-0,457641219;-0,485141057;-0,104237208
0,787103292;0,171250948;1,203105518
1,9757015;1,201520024;2,939226415
-1,687918408;-0,734938778;-1,701318195
-1,787387323;-1,069231524;-1,991534896
-1,462645395;-1,176044612;-2,500129838
-0,574171507;-0,554028561;0,16707192
-0,486905237;0,217266179;0,274307138
-0,931913724;0,436979515;-0,558311471
0,397155208;-0,640274247;-1,312520512
1,14247488;0,958229844;2,073629145
-0,640318026;0,005374045;0,175804509
-0,034465602;-0,330514907;-0,348555185
-0,142847316;0,207395477;0,470406378
-1,541012314;-0,601953261;-1,503912872
1,439473777;0,097925007;1,35970462
-0,091970832;-0,419152618;-0,864510887
-1,394139494;-1,399029337;-0,807482036
1,418630959;1,199960451;0,93450082
-0,313026692;-0,277901738;0,754535395
-0,846590534;-0,478609576;-0,770859086
0,074809695;-0,198539866;-0,194052307
0,882840952;0,208527228;-0,434663849
0,634029449;0,850380315;1,093505843
